             L_t/L_s             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
             0.00010             0.50005            -0.00005             0.50000            -0.00000             0.50005            -0.00005
             0.01010             0.54959            -0.04565             0.51011            -0.01011             0.55005            -0.05005
             0.02010             0.63419            -0.11248             0.55649            -0.05649             0.64052            -0.14052
             0.03010             0.73338            -0.18244             0.65503            -0.15503             0.75752            -0.25752
             0.04010             0.83941            -0.25237             0.81758            -0.31758             0.89598            -0.39598
             0.05010             0.94898            -0.32183             1.05409            -0.55409             1.05298            -0.55298
             0.06010             1.06059            -0.39085             1.37332            -0.87332             1.22655            -0.72655
             0.07010             1.17345            -0.45952             1.78316            -1.28316             1.41524            -0.91524
             0.08010             1.28714            -0.52793             2.29088            -1.79088             1.61790            -1.11790
             0.09010             1.40141            -0.59613             2.90324            -2.40324             1.83365            -1.33365
             0.10010             1.51608            -0.66418             3.62659            -3.12659             2.06173            -1.56173
             0.11010             1.63107            -0.73210             4.46693            -3.96693             2.30151            -1.80151
             0.12010             1.74629            -0.79993             5.42996            -4.92996             2.55244            -2.05244
             0.13010             1.86169            -0.86768             6.52114            -6.02114             2.81404            -2.31404
             0.14010             1.97724            -0.93536             7.74571            -7.24571             3.08591            -2.58591
             0.15010             2.09290            -1.00300             9.10870            -8.60870             3.36765            -2.86765
             0.16010             2.20866            -1.07058            10.61496           -10.11496             3.65895            -3.15895
             0.17010             2.32450            -1.13813            12.26919           -11.76919             3.95949            -3.45949
             0.18010             2.44040            -1.20565            14.07594           -13.57594             4.26900            -3.76900
             0.19010             2.55637            -1.27315            16.03964           -15.53964             4.58723            -4.08723
             0.20010             2.67238            -1.34062            18.16459           -17.66459             4.91394            -4.41394
             0.21010             2.78843            -1.40806            20.45496           -19.95496             5.24892            -4.74892
             0.22010             2.90452            -1.47549            22.91485           -22.41485             5.59197            -5.09197
             0.23010             3.02064            -1.54291            25.54824           -25.04824             5.94290            -5.44290
             0.24010             3.13678            -1.61031            28.35904           -27.85904             6.30155            -5.80155
             0.25010             3.25295            -1.67770            31.35105           -30.85105             6.66774            -6.16774
             0.26010             3.36915            -1.74508            34.52801           -34.02802             7.04133            -6.54133
             0.27010             3.48536            -1.81244            37.89359           -37.39359             7.42218            -6.92218
             0.28010             3.60159            -1.87980            41.45138           -40.95138             7.81013            -7.31014
             0.29010             3.71783            -1.94716            45.20489           -44.70489             8.20508            -7.70508
             0.30010             3.83409            -2.01450            49.15760           -48.65761             8.60690            -8.10690
             0.31010             3.95036            -2.08184            53.31292           -52.81292             9.01547            -8.51547
