        nu_e/omega_T             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
             0.30090             0.49755             0.00246             0.00000             0.00000             0.00000             0.00000
             3.30986             0.49187             0.00826             0.00000             0.00000             0.00000             0.00000
             6.31883             0.48878             0.01149             0.00000             0.00000             0.00000             0.00000
             9.32779             0.48637             0.01403             0.00000             0.00000             0.00000             0.00000
            12.33676             0.48433             0.01621             0.00000             0.00000             0.00000             0.00000
            15.34572             0.48253             0.01814             0.00000             0.00000             0.00000             0.00000
            18.35469             0.48090             0.01991             0.00000             0.00000             0.00000             0.00000
            21.36365             0.47940             0.02155             0.00000             0.00000             0.00000             0.00000
            24.37262             0.47800             0.02309             0.00000             0.00000             0.00000             0.00000
            27.38158             0.47669             0.02454             0.00000             0.00000             0.00000             0.00000
            30.39055             0.47545             0.02592             0.00000             0.00000             0.00000             0.00000
            33.39951             0.47428             0.02724             0.00000             0.00000             0.00000             0.00000
            36.40848             0.47315             0.02851             0.00000             0.00000             0.00000             0.00000
            39.41744             0.47208             0.02974             0.00000             0.00000             0.00000             0.00000
            42.42641             0.47104             0.03092             0.00000             0.00000             0.00000             0.00000
            45.43537             0.47005             0.03207             0.00000             0.00000             0.00000             0.00000
            48.44434             0.46908             0.03318             0.00000             0.00000             0.00000             0.00000
            51.45330             0.46815             0.03427             0.00000             0.00000             0.00000             0.00000
            54.46227             0.46725             0.03532             0.00000             0.00000             0.00000             0.00000
            57.47123             0.46637             0.03636             0.00000             0.00000             0.00000             0.00000
            60.48020             0.46551             0.03737             0.00000             0.00000             0.00000             0.00000
            63.48917             0.46468             0.03836             0.00000             0.00000             0.00000             0.00000
            66.49813             0.46387             0.03933             0.00000             0.00000             0.00000             0.00000
            69.50710             0.46307             0.04028             0.00000             0.00000             0.00000             0.00000
            72.51606             0.46230             0.04121             0.00000             0.00000             0.00000             0.00000
            75.52503             0.46154             0.04213             0.00000             0.00000             0.00000             0.00000
            78.53399             0.46080             0.04303             0.00000             0.00000             0.00000             0.00000
            81.54296             0.46007             0.04392             0.00000             0.00000             0.00000             0.00000
            84.55192             0.45936             0.04479             0.00000             0.00000             0.00000             0.00000
            87.56089             0.45866             0.04565             0.00000             0.00000             0.00000             0.00000
            90.56985             0.45798             0.04650             0.00000             0.00000             0.00000             0.00000
            93.57882             0.45731             0.04734             0.00000             0.00000             0.00000             0.00000
            96.58778             0.45664             0.04817             0.00000             0.00000             0.00000             0.00000
            99.59675             0.45599             0.04899             0.00000             0.00000             0.00000             0.00000
           102.60571             0.45536             0.04979             0.00000             0.00000             0.00000             0.00000
           105.61468             0.45473             0.05059             0.00000             0.00000             0.00000             0.00000
           108.62364             0.45411             0.05138             0.00000             0.00000             0.00000             0.00000
           111.63261             0.45350             0.05216             0.00000             0.00000             0.00000             0.00000
           114.64157             0.45290             0.05293             0.00000             0.00000             0.00000             0.00000
           117.65054             0.45231             0.05369             0.00000             0.00000             0.00000             0.00000
           120.65950             0.45172             0.05445             0.00000             0.00000             0.00000             0.00000
           123.66847             0.45115             0.05519             0.00000             0.00000             0.00000             0.00000
           126.67743             0.45058             0.05593             0.00000             0.00000             0.00000             0.00000
           129.68640             0.45002             0.05667             0.00000             0.00000             0.00000             0.00000
           132.69536             0.44947             0.05739             0.00000             0.00000             0.00000             0.00000
           135.70433             0.44892             0.05811             0.00000             0.00000             0.00000             0.00000
           138.71329             0.44839             0.05883             0.00000             0.00000             0.00000             0.00000
           141.72226             0.44786             0.05953             0.00000             0.00000             0.00000             0.00000
           144.73122             0.44733             0.06024             0.00000             0.00000             0.00000             0.00000
           147.74019             0.44681             0.06093             0.00000             0.00000             0.00000             0.00000
           150.74915             0.44630             0.06162             0.00000             0.00000             0.00000             0.00000
           153.75812             0.44580             0.06231             0.00000             0.00000             0.00000             0.00000
           156.76709             0.44530             0.06299             0.00000             0.00000             0.00000             0.00000
           159.77605             0.44480             0.06366             0.00000             0.00000             0.00000             0.00000
           162.78502             0.44431             0.06433             0.00000             0.00000             0.00000             0.00000
           165.79398             0.44383             0.06500             0.00000             0.00000             0.00000             0.00000
           168.80295             0.44335             0.06566             0.00000             0.00000             0.00000             0.00000
           171.81191             0.44288             0.06631             0.00000             0.00000             0.00000             0.00000
           174.82088             0.44241             0.06697             0.00000             0.00000             0.00000             0.00000
           177.82984             0.44194             0.06761             0.00000             0.00000             0.00000             0.00000
           180.83881             0.44149             0.06826             0.00000             0.00000             0.00000             0.00000
           183.84777             0.44103             0.06889             0.00000             0.00000             0.00000             0.00000
           186.85674             0.44058             0.06953             0.00000             0.00000             0.00000             0.00000
           189.86570             0.44014             0.07016             0.00000             0.00000             0.00000             0.00000
           192.87467             0.43970             0.07079             0.00000             0.00000             0.00000             0.00000
           195.88363             0.43926             0.07141             0.00000             0.00000             0.00000             0.00000
           198.89260             0.43883             0.07203             0.00000             0.00000             0.00000             0.00000
           201.90156             0.43840             0.07265             0.00000             0.00000             0.00000             0.00000
           204.91053             0.43798             0.07326             0.00000             0.00000             0.00000             0.00000
           207.91949             0.43756             0.07387             0.00000             0.00000             0.00000             0.00000
           210.92846             0.43714             0.07447             0.00000             0.00000             0.00000             0.00000
           213.93742             0.43673             0.07508             0.00000             0.00000             0.00000             0.00000
           216.94639             0.43632             0.07567             0.00000             0.00000             0.00000             0.00000
           219.95535             0.43592             0.07627             0.00000             0.00000             0.00000             0.00000
           222.96432             0.43551             0.07686             0.00000             0.00000             0.00000             0.00000
           225.97328             0.43512             0.07745             0.00000             0.00000             0.00000             0.00000
           228.98225             0.43472             0.07804             0.00000             0.00000             0.00000             0.00000
           231.99121             0.43433             0.07862             0.00000             0.00000             0.00000             0.00000
           235.00018             0.43394             0.07921             0.00000             0.00000             0.00000             0.00000
           238.00914             0.43356             0.07978             0.00000             0.00000             0.00000             0.00000
           241.01811             0.43318             0.08036             0.00000             0.00000             0.00000             0.00000
           244.02708             0.43280             0.08093             0.00000             0.00000             0.00000             0.00000
           247.03604             0.43242             0.08150             0.00000             0.00000             0.00000             0.00000
           250.04501             0.43205             0.08207             0.00000             0.00000             0.00000             0.00000
           253.05397             0.43168             0.08264             0.00000             0.00000             0.00000             0.00000
           256.06294             0.43132             0.08320             0.00000             0.00000             0.00000             0.00000
           259.07190             0.43095             0.08376             0.00000             0.00000             0.00000             0.00000
           262.08087             0.43059             0.08432             0.00000             0.00000             0.00000             0.00000
           265.08983             0.43024             0.08487             0.00000             0.00000             0.00000             0.00000
           268.09880             0.42988             0.08542             0.00000             0.00000             0.00000             0.00000
           271.10776             0.42953             0.08597             0.00000             0.00000             0.00000             0.00000
           274.11673             0.42918             0.08652             0.00000             0.00000             0.00000             0.00000
           277.12569             0.42883             0.08707             0.00000             0.00000             0.00000             0.00000
           280.13466             0.42849             0.08761             0.00000             0.00000             0.00000             0.00000
           283.14362             0.42815             0.08815             0.00000             0.00000             0.00000             0.00000
           286.15259             0.42781             0.08869             0.00000             0.00000             0.00000             0.00000
           289.16155             0.42747             0.08923             0.00000             0.00000             0.00000             0.00000
           292.17052             0.42714             0.08976             0.00000             0.00000             0.00000             0.00000
           295.17948             0.42681             0.09029             0.00000             0.00000             0.00000             0.00000
           298.18845             0.42648             0.09082             0.00000             0.00000             0.00000             0.00000
