        nu_e/omega_T             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
             1.38648             0.50522            -0.00517             0.00000             0.00000             0.52649            -0.02649
             4.15945             0.50904            -0.00888             0.00000             0.00000             0.54588            -0.04588
             6.93242             0.51166            -0.01141             0.00000             0.00000             0.55923            -0.05923
             9.70539             0.51380            -0.01344             0.00000             0.00000             0.57008            -0.07008
            12.47836             0.51564            -0.01519             0.00000             0.00000             0.57946            -0.07946
            15.25132             0.51729            -0.01674             0.00000             0.00000             0.58785            -0.08785
            18.02429             0.51879            -0.01814             0.00000             0.00000             0.59550            -0.09550
            20.79726             0.52018            -0.01944             0.00000             0.00000             0.60258            -0.10258
            23.57023             0.52148            -0.02064             0.00000             0.00000             0.60921            -0.10921
            26.34319             0.52270            -0.02177             0.00000             0.00000             0.61545            -0.11545
            29.11616             0.52386            -0.02284             0.00000             0.00000             0.62138            -0.12138
            31.88913             0.52496            -0.02386             0.00000             0.00000             0.62703            -0.12703
            34.66210             0.52602            -0.02482             0.00000             0.00000             0.63243            -0.13243
            37.43507             0.52704            -0.02575             0.00000             0.00000             0.63763            -0.13763
            40.20803             0.52801            -0.02664             0.00000             0.00000             0.64264            -0.14264
            42.98100             0.52896            -0.02749             0.00000             0.00000             0.64747            -0.14747
            45.75397             0.52987            -0.02832             0.00000             0.00000             0.65215            -0.15215
            48.52694             0.53076            -0.02912             0.00000             0.00000             0.65670            -0.15670
            51.29991             0.53162            -0.02989             0.00000             0.00000             0.66111            -0.16111
            54.07287             0.53245            -0.03064             0.00000             0.00000             0.66541            -0.16541
            56.84584             0.53327            -0.03137             0.00000             0.00000             0.66960            -0.16960
            59.61881             0.53406            -0.03208             0.00000             0.00000             0.67369            -0.17369
            62.39178             0.53484            -0.03277             0.00000             0.00000             0.67768            -0.17768
            65.16475             0.53560            -0.03345             0.00000             0.00000             0.68158            -0.18158
            67.93771             0.53634            -0.03410             0.00000             0.00000             0.68541            -0.18541
            70.71068             0.53707            -0.03475             0.00000             0.00000             0.68915            -0.18915
            73.48365             0.53778            -0.03538             0.00000             0.00000             0.69283            -0.19283
            76.25662             0.53848            -0.03599             0.00000             0.00000             0.69643            -0.19643
            79.02959             0.53917            -0.03660             0.00000             0.00000             0.69997            -0.19997
            81.80255             0.53984            -0.03719             0.00000             0.00000             0.70345            -0.20345
            84.57552             0.54050            -0.03777             0.00000             0.00000             0.70687            -0.20687
            87.34849             0.54115            -0.03834             0.00000             0.00000             0.71023            -0.21023
            90.12146             0.54179            -0.03890             0.00000             0.00000             0.71354            -0.21354
            92.89442             0.54242            -0.03945             0.00000             0.00000             0.71680            -0.21680
            95.66739             0.54304            -0.03999             0.00000             0.00000             0.72002            -0.22002
            98.44036             0.54366            -0.04052             0.00000             0.00000             0.72318            -0.22318
           101.21333             0.54426            -0.04105             0.00000             0.00000             0.72630            -0.22630
           103.98630             0.54485            -0.04156             0.00000             0.00000             0.72938            -0.22938
           106.75926             0.54544            -0.04207             0.00000             0.00000             0.73242            -0.23242
           109.53223             0.54602            -0.04257             0.00000             0.00000             0.73542            -0.23542
           112.30520             0.54659            -0.04306             0.00000             0.00000             0.73838            -0.23838
           115.07817             0.54715            -0.04355             0.00000             0.00000             0.74131            -0.24131
           117.85114             0.54771            -0.04403             0.00000             0.00000             0.74420            -0.24420
           120.62410             0.54826            -0.04450             0.00000             0.00000             0.74705            -0.24705
           123.39707             0.54880            -0.04496             0.00000             0.00000             0.74988            -0.24988
           126.17004             0.54934            -0.04542             0.00000             0.00000             0.75267            -0.25267
           128.94301             0.54987            -0.04588             0.00000             0.00000             0.75543            -0.25543
           131.71598             0.55039            -0.04633             0.00000             0.00000             0.75816            -0.25816
           134.48894             0.55091            -0.04677             0.00000             0.00000             0.76086            -0.26086
           137.26191             0.55142            -0.04721             0.00000             0.00000             0.76354            -0.26354
           140.03488             0.55193            -0.04764             0.00000             0.00000             0.76619            -0.26619
           142.80785             0.55243            -0.04807             0.00000             0.00000             0.76881            -0.26881
           145.58081             0.55293            -0.04849             0.00000             0.00000             0.77141            -0.27141
           148.35378             0.55342            -0.04891             0.00000             0.00000             0.77398            -0.27398
           151.12675             0.55391            -0.04933             0.00000             0.00000             0.77653            -0.27653
           153.89972             0.55440            -0.04973             0.00000             0.00000             0.77905            -0.27906
           156.67269             0.55488            -0.05014             0.00000             0.00000             0.78156            -0.28156
           159.44565             0.55535            -0.05054             0.00000             0.00000             0.78404            -0.28404
           162.21862             0.55582            -0.05094             0.00000             0.00000             0.78650            -0.28650
           164.99159             0.55629            -0.05133             0.00000             0.00000             0.78894            -0.28894
           167.76456             0.55675            -0.05172             0.00000             0.00000             0.79135            -0.29135
           170.53753             0.55721            -0.05211             0.00000             0.00000             0.79375            -0.29375
           173.31049             0.55766            -0.05249             0.00000             0.00000             0.79613            -0.29613
           176.08346             0.55811            -0.05287             0.00000             0.00000             0.79849            -0.29849
           178.85643             0.55856            -0.05324             0.00000             0.00000             0.80083            -0.30083
           181.62940             0.55900            -0.05361             0.00000             0.00000             0.80315            -0.30315
           184.40237             0.55944            -0.05398             0.00000             0.00000             0.80546            -0.30546
           187.17533             0.55987            -0.05434             0.00000             0.00000             0.80775            -0.30775
           189.94830             0.56031            -0.05470             0.00000             0.00000             0.81002            -0.31002
           192.72127             0.56073            -0.05506             0.00000             0.00000             0.81227            -0.31227
           195.49424             0.56116            -0.05542             0.00000             0.00000             0.81451            -0.31451
           198.26720             0.56158            -0.05577             0.00000             0.00000             0.81674            -0.31674
           201.04017             0.56200            -0.05612             0.00000             0.00000             0.81894            -0.31894
           203.81314             0.56242            -0.05647             0.00000             0.00000             0.82113            -0.32113
           206.58611             0.56283            -0.05681             0.00000             0.00000             0.82331            -0.32331
           209.35908             0.56324            -0.05715             0.00000             0.00000             0.82547            -0.32547
           212.13204             0.56365            -0.05749             0.00000             0.00000             0.82762            -0.32762
           214.90501             0.56406            -0.05783             0.00000             0.00000             0.82976            -0.32976
           217.67798             0.56446            -0.05816             0.00000             0.00000             0.83188            -0.33188
           220.45095             0.56486            -0.05849             0.00000             0.00000             0.83398            -0.33398
           223.22392             0.56525            -0.05882             0.00000             0.00000             0.83608            -0.33608
           225.99688             0.56565            -0.05914             0.00000             0.00000             0.83816            -0.33816
           228.76985             0.56604            -0.05947             0.00000             0.00000             0.84023            -0.34023
           231.54282             0.56643            -0.05979             0.00000             0.00000             0.84228            -0.34228
