        nu_e/omega_T             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
             0.63135             0.53495            -0.03287             0.00000             0.00000             0.53925            -0.03925
             1.89404             0.56006            -0.05450             0.00000             0.00000             0.56798            -0.06798
             3.15673             0.57702            -0.06843             0.00000             0.00000             0.58777            -0.08777
             4.41942             0.59060            -0.07926             0.00000             0.00000             0.60385            -0.10385
             5.68211             0.60220            -0.08830             0.00000             0.00000             0.61775            -0.11775
             6.94480             0.61244            -0.09616             0.00000             0.00000             0.63018            -0.13018
             8.20749             0.62168            -0.10316             0.00000             0.00000             0.64152            -0.14152
             9.47018             0.63016            -0.10949             0.00000             0.00000             0.65202            -0.15202
            10.73287             0.63802            -0.11531             0.00000             0.00000             0.66184            -0.16184
            11.99556             0.64536            -0.12070             0.00000             0.00000             0.67109            -0.17109
            13.25825             0.65228            -0.12573             0.00000             0.00000             0.67987            -0.17987
            14.52094             0.65883            -0.13046             0.00000             0.00000             0.68824            -0.18824
            15.78363             0.66505            -0.13493             0.00000             0.00000             0.69626            -0.19626
            17.04632             0.67099            -0.13917             0.00000             0.00000             0.70395            -0.20395
            18.30902             0.67668            -0.14320             0.00000             0.00000             0.71137            -0.21137
            19.57171             0.68214            -0.14706             0.00000             0.00000             0.71854            -0.21854
            20.83440             0.68740            -0.15076             0.00000             0.00000             0.72548            -0.22548
            22.09709             0.69248            -0.15431             0.00000             0.00000             0.73221            -0.23221
            23.35978             0.69738            -0.15773             0.00000             0.00000             0.73876            -0.23876
            24.62247             0.70213            -0.16102             0.00000             0.00000             0.74512            -0.24512
            25.88516             0.70674            -0.16421             0.00000             0.00000             0.75133            -0.25133
            27.14785             0.71122            -0.16730             0.00000             0.00000             0.75739            -0.25739
            28.41054             0.71557            -0.17029             0.00000             0.00000             0.76330            -0.26330
            29.67323             0.71981            -0.17319             0.00000             0.00000             0.76909            -0.26909
            30.93592             0.72394            -0.17602             0.00000             0.00000             0.77476            -0.27476
            32.19861             0.72797            -0.17877             0.00000             0.00000             0.78031            -0.28031
            33.46130             0.73191            -0.18144             0.00000             0.00000             0.78575            -0.28575
            34.72400             0.73576            -0.18405             0.00000             0.00000             0.79109            -0.29109
            35.98669             0.73953            -0.18660             0.00000             0.00000             0.79634            -0.29634
            37.24938             0.74321            -0.18908             0.00000             0.00000             0.80149            -0.30149
            38.51207             0.74683            -0.19152             0.00000             0.00000             0.80656            -0.30656
            39.77476             0.75037            -0.19389             0.00000             0.00000             0.81155            -0.31155
            41.03745             0.75384            -0.19622             0.00000             0.00000             0.81645            -0.31645
            42.30014             0.75725            -0.19850             0.00000             0.00000             0.82128            -0.32128
            43.56283             0.76059            -0.20074             0.00000             0.00000             0.82604            -0.32604
            44.82552             0.76388            -0.20293             0.00000             0.00000             0.83074            -0.33074
            46.08821             0.76711            -0.20508             0.00000             0.00000             0.83536            -0.33536
            47.35090             0.77029            -0.20720             0.00000             0.00000             0.83992            -0.33992
            48.61359             0.77342            -0.20927             0.00000             0.00000             0.84443            -0.34443
            49.87628             0.77650            -0.21131             0.00000             0.00000             0.84887            -0.34887
            51.13897             0.77953            -0.21331             0.00000             0.00000             0.85326            -0.35326
            52.40167             0.78251            -0.21528             0.00000             0.00000             0.85759            -0.35759
            53.66436             0.78545            -0.21722             0.00000             0.00000             0.86188            -0.36188
            54.92705             0.78835            -0.21913             0.00000             0.00000             0.86611            -0.36611
            56.18974             0.79121            -0.22101             0.00000             0.00000             0.87029            -0.37029
            57.45243             0.79403            -0.22286             0.00000             0.00000             0.87443            -0.37443
            58.71512             0.79681            -0.22469             0.00000             0.00000             0.87852            -0.37852
            59.97781             0.79955            -0.22648             0.00000             0.00000             0.88257            -0.38257
            61.24050             0.80226            -0.22826             0.00000             0.00000             0.88658            -0.38658
            62.50319             0.80493            -0.23000             0.00000             0.00000             0.89054            -0.39054
            63.76588             0.80757            -0.23173             0.00000             0.00000             0.89447            -0.39447
            65.02857             0.81018            -0.23343             0.00000             0.00000             0.89836            -0.39836
            66.29126             0.81276            -0.23511             0.00000             0.00000             0.90220            -0.40220
            67.55395             0.81530            -0.23677             0.00000             0.00000             0.90602            -0.40602
            68.81665             0.81782            -0.23840             0.00000             0.00000             0.90979            -0.40979
            70.07934             0.82031            -0.24002             0.00000             0.00000             0.91354            -0.41354
            71.34203             0.82277            -0.24162             0.00000             0.00000             0.91725            -0.41725
            72.60472             0.82521            -0.24319             0.00000             0.00000             0.92092            -0.42092
            73.86741             0.82761            -0.24475             0.00000             0.00000             0.92457            -0.42457
            75.13010             0.83000            -0.24630             0.00000             0.00000             0.92818            -0.42818
            76.39279             0.83235            -0.24782             0.00000             0.00000             0.93176            -0.43176
            77.65548             0.83469            -0.24933             0.00000             0.00000             0.93532            -0.43532
            78.91817             0.83700            -0.25082             0.00000             0.00000             0.93884            -0.43884
            80.18086             0.83928            -0.25229             0.00000             0.00000             0.94234            -0.44234
            81.44355             0.84155            -0.25375             0.00000             0.00000             0.94581            -0.44581
            82.70624             0.84379            -0.25520             0.00000             0.00000             0.94925            -0.44925
            83.96893             0.84601            -0.25662             0.00000             0.00000             0.95267            -0.45267
