        nu_e/omega_T             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
             1.41393             0.52615            -0.02494             0.00000             0.00000             0.52623            -0.02623
             4.24179             0.54508            -0.04175             0.00000             0.00000             0.54543            -0.04543
             7.06965             0.55794            -0.05273             0.00000             0.00000             0.55865            -0.05865
             9.89752             0.56830            -0.06132             0.00000             0.00000             0.56939            -0.06939
            12.72538             0.57716            -0.06854             0.00000             0.00000             0.57869            -0.07869
            15.55324             0.58502            -0.07484             0.00000             0.00000             0.58699            -0.08699
            18.38110             0.59214            -0.08047             0.00000             0.00000             0.59457            -0.09457
            21.20896             0.59868            -0.08558             0.00000             0.00000             0.60158            -0.10158
            24.03682             0.60476            -0.09028             0.00000             0.00000             0.60814            -0.10814
            26.86469             0.61045            -0.09465             0.00000             0.00000             0.61433            -0.11433
            29.69255             0.61582            -0.09873             0.00000             0.00000             0.62019            -0.12019
            32.52041             0.62091            -0.10258             0.00000             0.00000             0.62579            -0.12579
            35.34827             0.62576            -0.10621             0.00000             0.00000             0.63114            -0.13114
            38.17613             0.63039            -0.10967             0.00000             0.00000             0.63629            -0.13629
            41.00399             0.63483            -0.11296             0.00000             0.00000             0.64124            -0.14124
            43.83186             0.63910            -0.11611             0.00000             0.00000             0.64603            -0.14603
            46.65972             0.64322            -0.11913             0.00000             0.00000             0.65067            -0.15067
            49.48758             0.64719            -0.12203             0.00000             0.00000             0.65517            -0.15517
            52.31544             0.65104            -0.12483             0.00000             0.00000             0.65954            -0.15954
            55.14330             0.65477            -0.12753             0.00000             0.00000             0.66380            -0.16380
            57.97116             0.65839            -0.13015             0.00000             0.00000             0.66794            -0.16794
            60.79903             0.66191            -0.13268             0.00000             0.00000             0.67199            -0.17199
            63.62689             0.66534            -0.13513             0.00000             0.00000             0.67595            -0.17595
            66.45475             0.66868            -0.13752             0.00000             0.00000             0.67981            -0.17981
            69.28261             0.67193            -0.13983             0.00000             0.00000             0.68360            -0.18360
            72.11047             0.67511            -0.14209             0.00000             0.00000             0.68731            -0.18731
            74.93833             0.67822            -0.14429             0.00000             0.00000             0.69095            -0.19095
            77.76620             0.68126            -0.14644             0.00000             0.00000             0.69451            -0.19451
            80.59406             0.68423            -0.14853             0.00000             0.00000             0.69802            -0.19802
            83.42192             0.68715            -0.15058             0.00000             0.00000             0.70146            -0.20146
            86.24978             0.69000            -0.15258             0.00000             0.00000             0.70485            -0.20485
            89.07764             0.69281            -0.15454             0.00000             0.00000             0.70818            -0.20818
            91.90550             0.69556            -0.15645             0.00000             0.00000             0.71146            -0.21146
            94.73337             0.69826            -0.15833             0.00000             0.00000             0.71469            -0.21469
            97.56123             0.70091            -0.16018             0.00000             0.00000             0.71787            -0.21787
           100.38909             0.70352            -0.16198             0.00000             0.00000             0.72100            -0.22100
           103.21695             0.70608            -0.16375             0.00000             0.00000             0.72410            -0.22410
           106.04481             0.70860            -0.16550             0.00000             0.00000             0.72714            -0.22714
           108.87267             0.71108            -0.16721             0.00000             0.00000             0.73015            -0.23015
           111.70054             0.71353            -0.16889             0.00000             0.00000             0.73312            -0.23312
           114.52840             0.71594            -0.17054             0.00000             0.00000             0.73606            -0.23606
           117.35626             0.71831            -0.17217             0.00000             0.00000             0.73895            -0.23895
           120.18412             0.72065            -0.17377             0.00000             0.00000             0.74181            -0.24181
           123.01198             0.72295            -0.17534             0.00000             0.00000             0.74464            -0.24464
           125.83984             0.72523            -0.17689             0.00000             0.00000             0.74744            -0.24744
           128.66771             0.72747            -0.17842             0.00000             0.00000             0.75020            -0.25020
