        nu_e/omega_T             omega_r             omega_i            omega1_r            omega1_i            omega2_r            omega2_i
             0.14142             0.58080            -0.07147             0.00000             0.00000             0.58293            -0.08293
             0.42426             0.63633            -0.11407             0.00000             0.00000             0.64364            -0.14364
             0.70711             0.67272            -0.14039             0.00000             0.00000             0.68544            -0.18544
             0.98995             0.70128            -0.16044             0.00000             0.00000             0.71942            -0.21942
             1.27279             0.72532            -0.17696             0.00000             0.00000             0.74880            -0.24880
             1.55563             0.74632            -0.19118             0.00000             0.00000             0.77506            -0.27506
             1.83848             0.76511            -0.20375             0.00000             0.00000             0.79902            -0.29902
             2.12132             0.78221            -0.21508             0.00000             0.00000             0.82120            -0.32120
             2.40416             0.79796            -0.22544             0.00000             0.00000             0.84194            -0.34194
             2.68700             0.81260            -0.23500             0.00000             0.00000             0.86150            -0.36150
             2.96985             0.82631            -0.24391             0.00000             0.00000             0.88005            -0.38005
             3.25269             0.83923            -0.25226             0.00000             0.00000             0.89773            -0.39773
             3.53553             0.85147            -0.26013             0.00000             0.00000             0.91467            -0.41467
             3.81837             0.86311            -0.26759             0.00000             0.00000             0.93093            -0.43093
             4.10122             0.87422            -0.27468             0.00000             0.00000             0.94661            -0.44661
             4.38406             0.88486            -0.28145             0.00000             0.00000             0.96175            -0.46175
             4.66690             0.89507            -0.28792             0.00000             0.00000             0.97641            -0.47642
             4.94974             0.90490            -0.29414             0.00000             0.00000             0.99064            -0.49064
             5.23259             0.91438            -0.30012             0.00000             0.00000             1.00446            -0.50446
             5.51543             0.92354            -0.30589             0.00000             0.00000             1.01792            -0.51792
             5.79827             0.93241            -0.31146             0.00000             0.00000             1.03103            -0.53103
             6.08111             0.94101            -0.31685             0.00000             0.00000             1.04383            -0.54383
             6.36395             0.94936            -0.32207             0.00000             0.00000             1.05633            -0.55633
             6.64680             0.95747            -0.32713             0.00000             0.00000             1.06856            -0.56856
             6.92964             0.96536            -0.33205             0.00000             0.00000             1.08053            -0.58053
             7.21248             0.97306            -0.33684             0.00000             0.00000             1.09226            -0.59226
             7.49532             0.98056            -0.34150             0.00000             0.00000             1.10376            -0.60376
             7.77817             0.98788            -0.34605             0.00000             0.00000             1.11505            -0.61505
             8.06101             0.99504            -0.35048             0.00000             0.00000             1.12613            -0.62613
             8.34385             1.00203            -0.35481             0.00000             0.00000             1.13702            -0.63702
             8.62669             1.00888            -0.35904             0.00000             0.00000             1.14773            -0.64773
             8.90954             1.01558            -0.36318             0.00000             0.00000             1.15826            -0.65826
             9.19238             1.02215            -0.36723             0.00000             0.00000             1.16863            -0.66863
             9.47522             1.02859            -0.37120             0.00000             0.00000             1.17884            -0.67884
             9.75806             1.03491            -0.37509             0.00000             0.00000             1.18889            -0.68889
            10.04091             1.04111            -0.37890             0.00000             0.00000             1.19881            -0.69881
            10.32375             1.04720            -0.38264             0.00000             0.00000             1.20858            -0.70858
            10.60659             1.05318            -0.38631             0.00000             0.00000             1.21822            -0.71822
            10.88943             1.05906            -0.38992             0.00000             0.00000             1.22774            -0.72774
